Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
1|hank55663|18|0:10:27|0:01:07|0|0:02:26|0|0:04:53|0|0:10:27|0|
2|xia_deng_ma|18|0:12:24|0:01:01|0|0:11:41|0|0:12:24|0|0:12:04|0|
3|tiger2005|18|0:15:42|0:00:41|0|0:01:59|0|0:04:38|0|0:15:42|0|
4|18o3|18|0:16:28|0:01:20|0|0:03:26|0|0:16:28|0|0:10:15|0|
5|sysulby|18|0:17:02|0:00:40|0|0:03:51|0|0:09:24|0|0:17:02|0|
6|sunnyrawat|18|0:17:58|0:00:55|0|0:03:36|0|0:07:57|0|0:17:58|0|
7|skyline-cz|18|0:18:19|0:01:23|0|0:03:25|0|0:06:31|0|0:18:19|0|
8|ag_dul|18|0:18:48|0:01:21|0|0:05:35|0|0:09:51|0|0:18:48|0|
9|FreeYourMind|18|0:18:55|0:01:04|0|0:06:44|0|0:11:11|0|0:18:55|0|
10|desserty|18|0:19:23|0:00:49|0|0:04:00|1|0:07:47|0|0:14:23|0|
11|Aging|18|0:19:31|0:01:06|0|0:03:02|0|0:05:29|0|0:14:31|1|
12|arignote|18|0:20:12|0:09:17|0|0:09:07|0|0:09:02|0|0:20:12|0|
13|yaobig-2|18|0:21:09|0:01:14|0|0:04:30|0|0:08:41|0|0:21:09|0|
14|liupengsay|18|0:21:43|0:15:39|0|0:15:42|0|0:15:45|0|0:16:43|1|
15|pjshwa|18|0:21:46|0:01:03|0|0:03:22|0|0:07:52|0|0:21:46|0|
16|niki4smirn|18|0:22:08|0:01:28|0|0:05:07|0|0:11:17|0|0:22:08|0|
17|kmjp|18|0:22:11|0:00:42|0|0:03:04|0|0:06:59|1|0:17:11|0|
18|jiang-wu-f|18|0:22:21|0:00:47|0|0:03:31|0|0:14:40|0|0:22:21|0|
19|milesian-c|18|0:22:39|0:00:50|0|0:03:07|0|0:08:34|0|0:22:39|0|
20|nskybytskyi|18|0:22:40|0:00:58|0|0:02:53|0|0:07:14|0|0:22:40|0|
21|young_sean|18|0:22:50|0:00:45|0|0:02:52|0|0:04:48|0|0:17:50|1|
22|scanhex|18|0:22:52|0:08:08|0|0:07:07|0|0:05:32|1|0:17:52|0|
23|tsreaper|18|0:23:16|0:00:40|0|0:04:10|0|0:10:00|0|0:23:16|0|
24|R3mix|18|0:23:37|0:01:17|0|0:04:46|0|0:14:01|0|0:23:37|0|
25|infallible-i3anach5b9|18|0:24:46|0:10:04|0|0:09:46|0|0:09:27|0|0:24:46|0|
26|When_Brain_Ded|18|0:24:49|0:24:49|0|0:23:27|0|0:20:30|0|0:11:00|0|
27|winter_dragon|18|0:24:58|0:01:12|0|0:04:31|0|0:12:06|0|0:24:58|0|
