Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (8)
1|neal_wu|20|0:28:36|0:02:05|0|0:08:38|0|0:05:20|0|0:28:36|0|
2|hitonanode|20|0:28:47|0:02:07|0|0:08:07|0|0:11:21|0|0:28:47|0|
3|liouzhou_101|20|0:31:43|0:01:55|0|0:07:28|0|0:13:11|0|0:31:43|0|
4|LayCurse|20|0:32:49|0:09:10|0|0:12:25|0|0:15:38|0|0:32:49|0|
5|cuiaoxiang|20|0:35:10|0:07:49|0|0:14:33|0|0:20:03|0|0:35:10|0|
6|wjli|20|0:35:16|0:02:04|0|0:17:32|0|0:07:07|0|0:35:16|0|
7|JOHNKRAM|20|0:36:16|0:02:02|0|0:05:58|0|0:11:47|0|0:36:16|0|
8|percywtc|20|0:39:14|0:03:44|0|0:09:40|0|0:21:45|0|0:39:14|0|
9|zerotrac2|20|0:40:33|0:02:19|0|0:06:36|0|0:14:05|0|0:40:33|0|
10|isps|20|0:43:38|0:02:27|0|0:19:14|0|0:15:02|0|0:43:38|0|
11|Dymonchyk|20|0:44:52|0:02:16|0|0:11:50|0|0:17:07|0|0:44:52|0|
12|yubowenok|20|0:47:11|0:03:25|0|0:42:11|0|0:09:21|0|0:36:00|1|
13|huizew|20|0:47:28|0:01:46|0|0:12:26|1|0:18:52|0|0:42:28|0|
14|uwi|20|0:48:42|0:02:51|0|0:15:24|0|0:20:46|0|0:43:42|1|
15|kzyKT|20|0:51:06|0:03:19|0|0:11:21|2|0:15:57|0|0:41:06|0|
16|ahyangyi|20|0:52:14|0:03:37|0|0:11:57|3|0:17:10|0|0:32:14|1|
17|wnjxyk|20|0:55:21|0:03:43|0|0:16:24|0|0:28:13|0|0:55:21|0|
18|__Chaos__|20|0:56:13|0:25:24|0|0:22:04|0|0:13:56|0|0:46:13|2|
19|tylerwang|20|0:56:41|0:04:08|0|0:31:58|1|0:10:25|0|0:51:41|0|
20|YangZhenjian|20|0:58:20|0:03:51|0|0:15:55|0|0:26:47|0|0:53:20|1|
21|inszva-2|20|0:58:52|0:02:36|0|0:28:00|1|0:25:55|0|0:53:52|0|
22|googlweknoall|20|0:58:59|0:03:35|0|0:09:36|0|0:18:25|0|0:58:59|0|
23|awice|20|0:59:13|0:14:59|0|0:15:08|1|0:15:14|0|0:54:13|0|
24|face4|20|0:59:43|0:03:49|0|0:26:40|1|0:17:25|0|0:54:43|0|
25|superluminal|20|1:00:22|0:01:52|0|0:10:08|0|0:19:19|0|0:55:22|1|
26|keymoon|20|1:01:31|0:03:31|0|0:13:09|0|0:20:09|0|0:56:31|1|
27|Sindweller|20|1:02:26|0:03:02|0|0:11:22|0|0:18:00|0|0:57:26|1|
28|FoolPerson|20|1:02:27|0:02:59|0|0:15:42|0|0:27:36|0|1:02:27|0|
29|RadianceSheep|20|1:04:09|0:04:29|0|0:21:18|1|0:31:34|0|0:59:09|0|
30|nevergiveup|20|1:04:26|0:06:29|1|0:12:22|0|0:20:34|0|0:59:26|0|
31|NEU20133823|20|1:04:58|0:01:56|0|0:12:51|0|0:21:11|0|0:59:58|1|
32|chenwang0517|20|1:05:02|0:03:00|0|1:00:02|0|0:11:50|0|0:39:53|1|
33|okaduki|20|1:07:00|0:03:46|0|0:57:00|1|0:21:11|1|0:48:28|0|
34|qwnjc|20|1:07:04|0:03:26|0|0:13:40|0|0:30:31|0|1:07:04|0|
35|vipjml|20|1:07:13|0:03:34|0|0:18:49|0|0:37:56|0|1:07:13|0|
36|liudehua|20|1:07:53|0:02:31|0|0:41:28|1|0:27:47|0|1:02:53|0|
37|NerdyCoder|20|1:07:55|0:03:39|0|0:16:20|0|0:30:09|0|1:07:55|0|
38|5lipper|20|1:09:08|0:05:01|0|0:15:13|0|0:22:45|0|1:04:08|1|
39|daodao-2|20|1:11:55|0:02:43|0|0:17:56|2|0:31:54|0|1:01:55|0|
40|fuppy|20|1:12:30|0:02:52|0|0:19:50|1|0:10:48|0|1:07:30|0|
