Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (7)
1|dnialh|19|0:19:58|0:08:46|0|0:08:33|0|0:04:13|0|0:19:58|0|
2|py-is-best-lang|19|0:21:21|0:02:40|0|0:02:30|0|0:11:06|0|0:21:21|0|
3|BossBobster|19|0:24:09|0:02:36|0|0:02:20|0|0:12:11|0|0:24:09|0|
4|20231212.ecstatic-cohenbya|19|0:24:44|0:11:17|0|0:11:21|0|0:12:39|0|0:24:44|0|
5|AntonRaichuk|19|0:26:06|0:02:12|0|0:05:04|0|0:10:11|0|0:21:06|1|
6|nicholask_17|19|0:27:46|0:05:10|0|0:05:01|0|0:27:46|0|0:20:39|0|
7|w285714|19|0:29:13|0:02:32|0|0:02:19|0|0:10:34|1|0:24:13|0|
8|endlesscheng|19|0:29:26|0:29:26|0|0:29:23|0|0:29:19|0|0:29:16|0|
9|rgb234rgb|19|0:29:36|0:01:33|0|0:03:49|0|0:14:15|0|0:29:36|0|
10|Ujimatsu_Chiya|19|0:29:38|0:02:20|0|0:02:12|0|0:29:38|0|0:23:56|0|
11|Yawn_Sean|19|0:29:55|0:05:05|0|0:07:11|0|0:11:56|0|0:24:55|1|
12|i2ecursing-mcleanvbo|19|0:30:31|0:24:00|0|0:24:06|0|0:24:18|0|0:30:31|0|
13|some_idiot|19|0:30:37|0:02:57|0|0:02:42|0|0:10:18|1|0:25:37|0|
14|uwi|19|0:31:11|0:01:12|0|0:03:43|0|0:09:28|0|0:26:11|1|
15|pku_erutan|19|0:31:56|0:03:15|0|0:03:04|0|0:10:51|1|0:26:56|0|
16|wery0|19|0:32:28|0:02:01|0|0:01:54|0|0:15:35|1|0:27:28|0|
17|PyIsTheBestLang|19|0:35:41|0:02:41|0|0:02:33|0|0:18:35|2|0:25:41|0|
18|natsugiri|19|0:35:45|0:01:25|0|0:03:37|0|0:15:35|0|0:35:45|0|
19|Cookie_Cream|19|0:35:52|0:01:19|0|0:03:33|0|0:30:52|1|0:16:36|0|
20|LayCurse|19|0:38:22|0:10:38|0|0:10:54|0|0:29:13|0|0:38:22|0|
21|pandaforever|19|0:38:36|0:02:50|0|0:02:21|0|0:33:36|1|0:28:08|0|
22|JOHNKRAM|19|0:40:53|0:03:33|0|0:03:20|0|0:13:23|0|0:35:53|1|
23|xuxiaohu|19|0:41:22|0:28:56|0|0:28:46|0|0:29:58|1|0:31:22|1|
24|tian-tang-6|19|0:42:18|0:03:12|0|0:17:58|0|0:26:45|0|0:42:18|0|
25|donbasta|19|0:42:24|0:02:21|0|0:04:53|0|0:26:03|0|0:42:24|0|
26|arignote|19|0:42:29|0:26:46|0|0:26:54|0|0:27:05|0|0:37:29|1|
27|SaveVMK|19|0:42:39|0:01:23|0|0:13:38|0|0:29:19|0|0:42:39|0|
28|alkonaesc|19|0:42:53|0:01:25|0|0:03:53|0|0:19:51|0|0:42:53|0|
29|arvindf232|19|0:45:42|0:01:34|1|0:03:49|0|0:25:42|0|0:19:51|3|
30|roma95|19|0:45:57|0:02:08|0|0:09:34|0|0:40:57|1|0:33:54|0|
31|OTTFF|19|0:46:06|0:03:15|0|0:03:05|0|0:31:36|0|0:46:06|0|
32|axlsdtkl|19|0:46:17|0:07:09|0|0:06:52|0|0:28:16|0|0:46:17|0|
33|mikeqiyh|19|0:46:41|0:02:39|0|0:06:41|0|0:41:41|1|0:31:48|0|
34|zephyrr|19|0:46:55|0:02:19|0|0:06:12|0|0:27:18|0|0:46:55|0|
35|bitetheD4T|19|0:47:21|0:42:21|0|0:42:09|0|0:37:58|0|0:23:12|1|
36|thuczh|19|0:47:22|0:06:01|0|0:05:51|1|0:21:07|0|0:37:22|1|
37|XAXAEBATb|19|0:48:16|0:03:39|0|0:03:25|0|0:16:04|0|0:43:16|1|
38|yqy_0319|19|0:48:57|0:03:48|0|0:03:54|0|0:25:11|1|0:43:57|0|
39|newhar|19|0:49:09|0:03:26|0|0:03:17|0|0:23:27|0|0:44:09|1|
40|tsreaper|19|0:49:14|0:01:38|0|0:03:25|0|0:31:56|1|0:44:14|0|
41|fuwutu|19|0:49:23|0:14:25|0|0:14:39|0|0:27:51|0|0:49:23|0|
42|lddlinan|19|0:50:18|0:01:47|0|0:03:50|0|0:22:17|0|0:40:18|2|
43|alephinfinity1|19|0:50:53|0:01:49|0|0:05:41|0|0:14:57|0|0:40:53|2|
44|shhk|19|0:50:57|0:04:59|0|0:04:53|0|0:20:39|0|0:45:57|1|
45|raincoat911|19|0:51:08|0:02:57|0|0:02:48|0|0:18:03|0|0:46:08|1|
46|htedsv-i|19|0:51:15|0:04:05|0|0:03:38|0|0:20:45|1|0:36:15|2|
47|hughstudy-n|19|0:51:35|0:04:28|0|0:04:34|0|0:26:12|0|0:51:35|0|
48|cchao|19|0:52:10|0:04:37|0|0:05:12|0|0:30:25|0|0:52:10|0|
49|y0105w49|19|0:52:17|0:14:35|0|0:14:16|0|0:23:00|0|0:47:17|1|
50|kefaa|19|0:52:52|0:19:39|0|0:19:07|0|0:52:52|0|0:11:17|0|
51|skyflaming|19|0:52:58|0:01:27|0|0:03:34|0|0:27:14|1|0:42:58|1|
52|waakaaka|19|0:53:16|0:05:04|0|0:04:54|0|0:36:04|1|0:48:16|0|
53|lucifer1007|19|0:53:30|0:04:39|0|0:04:32|0|0:16:10|0|0:48:30|1|
54|DimmyT|19|0:53:35|0:06:52|0|0:07:00|0|0:43:35|1|0:28:23|1|
55|lxhgww|19|0:53:52|0:03:34|0|0:03:16|0|0:48:52|0|0:31:00|1|
56|solene|19|0:54:30|0:01:23|0|0:03:58|0|0:23:08|0|0:49:30|1|
57|SirTechnical|19|0:54:56|0:03:10|0|0:02:59|0|0:17:44|0|0:49:56|1|
58|milesian-c|19|0:55:05|0:03:16|0|0:02:53|0|0:32:17|2|0:45:05|0|
59|lichen-7i|19|0:55:16|0:08:17|0|0:08:22|0|0:22:03|0|0:50:16|1|
60|wuyangOuO|19|0:55:20|0:02:54|0|0:12:06|0|0:30:29|0|0:50:20|1|
61|lintd|19|0:55:25|0:04:05|0|0:03:54|0|0:21:50|1|0:45:25|1|
62|sysulby|19|0:55:31|0:03:03|0|0:02:38|0|0:23:52|2|0:40:31|1|
63|Wibo|19|0:55:43|0:02:08|1|0:04:54|0|0:33:38|0|0:50:43|0|
64|borat89|19|0:55:58|0:03:21|0|0:03:07|0|0:50:58|1|0:27:44|0|
65|szp14|19|0:56:40|0:04:15|0|0:04:07|1|0:21:35|0|0:41:40|2|
66|green_pig|19|0:57:17|0:02:21|0|0:02:10|0|0:30:25|0|0:52:17|1|
67|Lcz1|19|0:57:26|0:04:51|0|0:04:45|0|0:20:31|0|0:57:26|0|
68|xul2022|19|0:57:48|0:02:25|0|0:11:20|0|0:24:05|1|0:42:48|2|
69|megaspazz|19|0:57:59|0:04:01|0|0:03:49|0|0:35:18|0|0:57:59|0|
70|qingczha|19|0:58:01|0:02:54|0|0:01:42|0|0:58:01|0|0:46:08|0|
71|Finesse|19|0:58:13|0:04:23|0|0:04:07|0|0:33:18|0|0:58:13|0|
72|cloudstrife0142|19|0:58:33|0:04:50|0|0:04:43|0|0:30:32|0|0:58:33|0|
73|huang234|19|0:58:42|0:01:43|0|0:05:24|0|0:20:37|1|0:48:42|1|
74|Nervose|19|0:58:54|0:06:05|0|0:05:49|0|0:31:52|0|0:58:54|0|
75|bzh|19|0:59:12|0:59:12|0|0:58:52|0|0:54:09|0|0:30:04|0|
76|xylu|19|0:59:16|0:04:04|0|0:03:45|0|0:24:05|0|0:54:16|1|
77|profchi|19|0:59:34|0:06:55|0|0:06:35|0|0:22:14|0|0:54:34|1|
78|XKTZ|19|0:59:44|0:01:37|1|0:04:25|0|0:17:56|0|0:44:44|2|
79|megurine|19|0:59:46|0:04:11|0|0:04:00|0|0:24:48|0|0:49:46|2|
80|hhhyh|19|0:59:58|0:04:48|0|0:04:42|0|0:20:15|0|0:54:58|1|
81|akbc|19|1:00:14|0:06:33|0|0:07:06|0|0:33:28|1|0:55:14|0|
82|yangxm|19|1:00:42|0:04:40|0|0:04:06|0|0:31:06|0|0:55:42|1|
83|cybsbbbb|19|1:01:17|0:02:15|0|0:06:39|0|0:30:32|1|0:56:17|0|
84|jiang-hai-ji-yu-sheng|19|1:01:35|0:02:27|0|0:06:14|0|0:26:55|1|0:51:35|1|
85|yfx76-38-30-2|19|1:01:35|0:03:15|0|0:04:14|0|0:27:34|2|0:46:35|1|
86|sheepforever|19|1:01:43|0:04:29|0|0:04:18|0|0:47:28|0|1:01:43|0|
87|deadRabbit|19|1:01:50|0:01:51|0|0:07:19|0|0:48:55|0|1:01:50|0|
88|jeffreyhu8|19|1:01:55|0:06:06|0|0:05:56|1|0:34:25|0|0:56:55|0|
89|blue_k|19|1:02:35|0:05:16|0|0:05:08|0|0:29:50|1|0:52:35|1|
90|xuantho573|19|1:02:39|0:09:50|0|0:10:13|0|0:33:06|2|0:47:39|1|
91|__math|19|1:03:12|0:06:32|0|0:06:27|1|0:21:06|1|0:48:12|1|
92|bofeng07|19|1:03:32|0:08:09|0|0:08:41|0|0:32:02|0|1:03:32|0|
93|ken_s|19|1:03:52|0:01:53|0|0:04:42|0|0:23:42|1|0:53:52|1|
94|peterrockwave|19|1:04:02|0:05:46|0|0:06:01|0|0:49:02|1|0:39:31|2|
95|tired_pedro|19|1:04:07|0:04:07|1|0:04:12|0|0:33:44|1|0:54:07|0|
96|Turkhuu|19|1:04:14|0:01:23|0|0:03:01|0|0:15:13|1|0:54:14|1|
97|gonglinyuan|19|1:04:33|0:07:26|0|0:07:12|0|0:30:31|0|0:59:33|1|
98|R3mix|19|1:04:44|0:02:42|0|0:02:36|0|0:28:37|2|0:49:44|1|
99|Zeyu_Shen|19|1:05:08|0:01:56|0|0:04:41|0|0:22:26|1|1:00:08|0|
100|summerdaway|19|1:05:37|0:02:55|0|0:02:43|0|0:55:37|0|0:33:30|2|
101|retyrn|19|1:05:52|0:28:16|0|0:28:08|0|0:28:02|0|1:05:52|0|
102|stupidRR|19|1:05:57|0:03:38|0|0:03:19|0|0:50:57|3|0:29:42|0|
103|ou-hai-ziJHu23dNZ|19|1:06:00|0:03:14|0|0:03:00|0|1:01:00|0|0:49:48|1|
104|vibrant-mayerhct|19|1:06:15|0:02:16|0|0:02:25|0|0:23:40|1|0:51:15|2|
105|lee0560|19|1:06:25|0:02:34|0|0:02:18|0|0:19:12|0|1:01:25|1|
106|xi-jun-xiao-zi|19|1:06:46|0:04:50|0|0:04:38|1|0:31:21|1|0:56:46|0|
