Rank Name Score Finish Time Q1 (3) Q2 (5) Q3 (7) Q4 (3)
1|tmt514|18|1:28:46|0:16:00|0|0:31:29|2|0:41:59|0|1:08:46|0|
2|yang1e|18|1:51:10|0:05:40|0|0:23:35|2|0:32:09|0|1:31:10|0|
3|CrayonXi|18|1:52:22|0:18:36|0|1:08:30|3|0:35:23|0|1:22:22|0|
4|Bruno1|18|2:14:14|1:04:14|0|0:59:38|3|0:07:13|2|0:31:10|2|
5|Guolong|18|2:42:14|0:44:07|0|1:49:02|2|0:08:16|0|2:22:14|0|
6|SpookyCookie|18|2:42:30|0:07:09|0|1:09:07|2|0:37:28|1|2:12:30|0|
7|arosusti|18|2:46:19|1:32:37|0|1:42:52|1|1:46:16|0|2:26:19|1|
8|MaskRay|18|3:03:11|0:04:06|0|1:00:20|5|0:15:00|0|1:23:11|5|
9|andrey.siunov|18|3:38:47|0:04:25|0|0:37:19|2|0:11:29|2|2:18:47|4|
10|sunz96|18|3:49:32|0:23:12|0|1:26:07|7|1:34:44|1|2:19:32|1|
11|nafi3000|15|0:44:37|0:07:41|0|0:29:49|1|0:34:37|0|-1|-1|
12|ngochai94|15|0:47:39|0:06:35|0|0:25:44|2|0:27:39|0|-1|-1|
13|mgch|15|0:47:43|0:27:43|0|0:24:44|2|0:06:53|0|-1|-1|
14|nevergiveup|15|0:47:54|0:07:40|0|0:24:15|2|0:27:54|0|-1|-1|
15|__Chaos__|15|0:53:23|0:33:23|0|0:12:54|2|0:04:01|0|-1|-1|
16|shdut|15|1:00:29|0:05:17|0|0:26:52|3|0:30:29|0|-1|-1|
17|pedro|15|1:02:00|0:03:04|0|0:27:37|3|0:32:00|0|-1|-1|
18|Jolvmte|15|1:03:34|0:07:01|0|0:53:34|1|0:15:32|0|-1|-1|
19|johnathan79717|15|1:04:35|0:10:48|0|0:30:31|2|0:34:35|1|-1|-1|
20|yijiezhu|15|1:05:21|0:06:54|0|0:28:17|2|0:35:21|1|-1|-1|
21|nehcdnr|15|1:05:51|0:35:51|0|0:28:51|2|0:08:32|1|-1|-1|
22|applewolf|15|1:07:22|0:10:36|0|0:41:58|1|0:57:22|0|-1|-1|
23|45DegreeBomb|15|1:08:59|0:05:34|0|0:58:59|1|0:10:56|0|-1|-1|
24|lylt|15|1:09:37|0:12:29|0|0:39:37|2|0:05:05|1|-1|-1|
25|czhangaegean|15|1:10:10|0:05:53|0|1:10:10|0|0:13:36|0|-1|-1|
26|Wizmann|15|1:10:31|0:05:09|0|0:35:24|3|0:40:31|0|-1|-1|
27|mr_fang|15|1:11:53|0:12:41|0|0:36:26|2|0:41:53|1|-1|-1|
28|quanhoang|15|1:14:22|0:08:53|0|1:04:22|1|0:27:19|0|-1|-1|
29|seraph1212|15|1:20:26|0:08:06|0|0:26:56|4|0:40:26|0|-1|-1|
30|burger365|15|1:21:54|0:05:32|0|1:01:54|1|0:43:26|1|-1|-1|
31|2wsx2wsx2wsx|15|1:23:09|0:07:23|0|1:03:09|1|0:15:03|1|-1|-1|
32|jskswyq|15|1:25:17|0:07:49|0|0:41:46|3|0:45:17|1|-1|-1|
33|johnnydu|15|1:30:04|0:23:35|0|0:50:04|4|0:31:30|0|-1|-1|
34|aubee|15|1:35:17|0:18:38|0|0:55:17|4|0:30:28|0|-1|-1|
35|godlike|15|1:36:20|0:16:01|0|0:56:37|0|1:26:20|1|-1|-1|
36|nyunyunyunyu|15|1:36:43|0:04:09|0|0:56:43|4|0:14:49|0|-1|-1|
37|music_box|15|1:36:59|0:04:25|0|0:56:59|4|0:40:32|0|-1|-1|
38|yesilyaprak|15|1:37:51|0:09:47|0|1:07:51|2|0:28:26|1|-1|-1|
39|tangsijian1991|15|1:41:20|-1|-1|0:39:32|3|0:45:01|0|1:11:20|0|
40|GAME_AI_Programmer|15|1:43:11|0:06:05|0|1:03:11|3|0:33:30|1|-1|-1|
41|hjy96|15|1:44:26|0:13:09|0|0:53:54|3|1:04:26|1|-1|-1|
42|orzzzl|15|1:45:07|0:05:25|0|0:55:07|4|0:31:21|1|-1|-1|
43|Iamyxx|15|1:50:04|0:09:30|0|1:10:04|4|0:12:00|0|-1|-1|
44|tcui|15|1:56:40|0:05:48|0|1:06:40|5|0:24:44|0|-1|-1|
45|lovedsp210|15|1:57:25|0:06:39|0|1:57:25|0|1:38:11|0|-1|-1|
46|LK21|15|2:00:42|0:12:02|0|1:08:41|3|1:20:42|1|-1|-1|
47|lixx2100|15|2:03:13|0:05:06|0|2:03:13|0|0:25:32|0|-1|-1|
48|tn00669990|15|2:05:13|0:10:22|0|1:35:13|3|0:22:31|0|-1|-1|
49|jamescao|15|2:10:45|0:14:37|0|1:30:45|3|0:33:05|1|-1|-1|
50|o_sharp|15|2:11:25|0:09:48|0|1:51:25|2|0:57:29|0|-1|-1|
51|bookshadow|15|2:12:48|0:05:40|0|1:42:48|2|1:04:59|1|-1|-1|
52|loftnova|15|2:14:03|0:10:48|0|1:24:03|5|0:29:06|0|-1|-1|
53|tony0055|15|2:21:56|0:15:14|0|1:51:56|3|0:54:07|0|-1|-1|
54|xiangjin|15|2:23:45|0:14:54|0|1:53:45|3|0:28:41|0|-1|-1|
55|KircheisHe|15|2:27:55|1:04:24|0|2:17:55|1|1:31:37|0|-1|-1|
56|Teveillan|15|2:33:15|0:06:07|0|2:03:15|3|0:16:23|0|-1|-1|
57|vin2|15|2:37:35|1:11:13|0|2:27:35|0|0:20:07|1|-1|-1|
58|Linmuadido|15|2:48:39|2:10:30|0|2:10:19|2|2:18:39|1|-1|-1|
59|Pratted|15|2:50:13|1:20:29|1|1:50:13|5|0:17:58|0|-1|-1|
60|bugdx|15|2:52:56|0:28:43|0|1:11:30|8|1:22:56|1|-1|-1|
61|liu31|15|2:53:53|0:14:07|0|2:03:53|4|1:29:01|1|-1|-1|
62|flyby23|15|2:57:16|0:58:39|0|1:29:44|2|2:17:16|2|-1|-1|
63|Clover27|15|2:57:18|2:07:18|1|1:59:09|3|0:36:34|1|-1|-1|
64|patrickm|15|2:58:09|1:31:27|0|1:48:09|7|0:50:27|0|-1|-1|
65|XBB_HOME|15|3:00:36|0:30:32|0|2:20:36|4|0:34:34|0|-1|-1|
66|scottScott|15|3:07:15|0:05:20|0|1:07:15|12|0:21:00|0|-1|-1|
67|lijinglun|15|3:09:57|0:17:46|0|2:09:57|6|0:51:16|0|-1|-1|
68|fei26|15|3:14:37|0:08:31|0|1:31:36|6|1:54:37|2|-1|-1|
69|pureklkl|15|3:14:39|0:23:48|0|1:50:25|5|2:04:39|2|-1|-1|
70|hyzhang|15|3:14:54|0:20:38|1|1:54:54|7|1:16:53|0|-1|-1|
71|democoffee|15|3:24:56|0:08:12|0|2:04:56|7|0:57:50|1|-1|-1|
72|PKUGoodSpeed|15|3:25:01|0:08:25|0|2:15:01|7|0:22:55|0|-1|-1|
73|ac_jon|15|3:25:47|0:11:02|0|1:25:06|7|2:05:47|1|-1|-1|
74|pmdiano|15|3:58:37|0:05:44|0|2:28:37|9|0:12:46|0|-1|-1|
75|tommyzhangming|15|4:07:54|2:27:54|2|2:19:50|8|0:30:30|0|-1|-1|
76|houge|15|5:25:46|0:25:32|0|2:25:46|18|0:31:47|0|-1|-1|
77|huchun87|13|2:09:42|0:41:02|0|-1|-1|0:28:57|0|2:09:42|0|
78|Sim0n|13|2:14:06|0:27:16|0|-1|-1|0:21:36|0|1:54:06|2|
79|Bujejuh|13|2:14:34|0:30:58|0|-1|-1|1:01:19|0|2:14:34|0|
