Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (7)
1|AntonRaichuk|19|0:22:09|0:01:24|0|0:04:26|0|0:07:21|0|0:22:09|0|
2|tiger2005|19|0:28:03|0:10:29|0|0:11:19|0|0:19:54|0|0:23:03|1|
3|young_sean|19|0:28:05|0:09:28|0|0:09:43|0|0:23:05|1|0:20:29|0|
4|physics0523|19|0:31:31|0:01:50|0|0:08:39|0|0:14:37|0|0:31:31|0|
5|thenymphsofdelphi|19|0:33:26|0:01:35|0|0:04:24|0|0:07:13|0|0:28:26|1|
6|py-is-best-lang|19|0:35:17|0:01:21|0|0:07:17|1|0:09:45|0|0:30:17|0|
7|scanhex|19|0:36:49|0:36:49|0|0:35:41|0|0:27:45|0|0:24:28|0|
8|Ujimatsu_Chiya|19|0:38:35|0:01:30|0|0:05:57|0|0:11:08|0|0:33:35|1|
9|tsreaper|19|0:39:28|0:01:28|0|0:04:18|0|0:08:47|1|0:34:28|0|
10|cjycleaner|19|0:40:03|0:01:05|0|0:04:11|0|0:07:15|0|0:35:03|1|
11|kmjp|19|0:42:04|0:01:27|0|0:05:18|2|0:09:21|0|0:27:04|1|
12|youtube_aryanc403|19|0:42:55|0:02:43|0|0:07:41|1|0:13:50|0|0:37:55|0|
13|yaobig-2|19|0:44:17|0:02:05|0|0:13:10|0|0:18:36|0|0:39:17|1|
14|hank55663|19|0:45:01|0:01:22|0|0:05:09|0|0:07:49|0|0:35:01|2|
15|milesian-c|19|0:46:11|0:02:30|0|0:08:37|0|0:14:55|0|0:41:11|1|
16|Kude|19|0:48:17|0:01:33|0|0:11:08|0|0:16:26|0|0:48:17|0|
17|liouzhou_101|19|0:48:48|0:01:35|0|0:05:53|0|0:13:05|0|0:48:48|0|
18|yf_1994|19|0:49:14|0:31:55|0|0:39:14|1|0:31:47|1|0:30:53|0|
19|Andrew-Angrew|19|0:51:28|0:02:31|0|0:08:26|0|0:16:04|0|0:46:28|1|
20|ethanrao|19|0:51:39|0:38:39|0|0:41:39|0|0:36:38|0|0:33:48|2|
21|wery0|19|0:52:21|0:33:17|0|0:33:53|1|0:32:57|0|0:37:21|2|
22|x____x|19|0:53:21|0:02:31|0|0:08:23|1|0:15:11|0|0:43:21|1|
23|Ruiko|19|0:54:35|0:01:38|0|0:08:12|0|0:12:31|0|0:54:35|0|
24|sykobeli|19|0:55:21|0:03:00|0|0:10:32|0|0:15:38|0|0:55:21|0|
25|q1w2e3r4-3|19|1:00:23|0:01:51|0|0:08:14|0|0:15:29|0|1:00:23|0|
26|A_Le_K|19|1:00:32|0:02:08|0|0:16:15|0|0:06:17|0|1:00:32|0|
27|hughstudy-n|19|1:00:58|0:46:17|0|0:55:51|0|1:00:58|0|0:43:53|0|
28|hxu10|19|1:02:45|0:01:48|0|0:12:28|0|0:17:18|0|0:57:45|1|
29|sethles|19|1:02:45|0:02:20|0|0:07:10|0|0:11:56|0|1:02:45|0|
30|wjli|19|1:02:54|0:01:07|0|0:05:33|0|0:09:19|0|1:02:54|0|
31|sobols|19|1:03:05|0:02:08|0|0:09:08|0|0:16:32|0|0:58:05|1|
32|kaq|19|1:04:59|0:02:08|0|0:16:17|1|0:19:58|0|0:49:59|2|
33|yangxm|19|1:05:23|0:02:08|0|0:08:57|0|0:14:56|0|1:05:23|0|
34|sisyphus3|19|1:05:35|0:00:46|0|0:10:38|3|0:12:28|0|0:50:35|0|
35|JeffreyLC|19|1:06:07|0:01:07|0|0:08:05|0|0:24:08|1|1:01:07|0|
36|jtrh|19|1:06:17|0:02:02|0|0:08:42|0|0:14:36|0|1:06:17|0|
37|paigulong|19|1:06:51|0:01:27|0|0:05:14|0|0:18:21|1|1:01:51|0|
38|DylanSmith|19|1:07:05|0:01:17|0|0:05:39|0|0:09:59|0|1:02:05|1|
39|sysulby|19|1:07:08|1:07:08|0|1:06:59|0|1:06:49|0|1:06:43|0|
40|rui-de|19|1:07:22|0:07:15|0|0:05:48|1|0:12:33|0|0:57:22|1|
41|yong-ren-2n|19|1:09:15|0:01:48|0|0:07:02|0|0:12:33|0|0:59:15|2|
42|nevergiveup|19|1:09:20|0:01:22|0|0:06:17|0|0:14:30|0|1:04:20|1|
43|rgb234rgb|19|1:09:47|0:01:40|0|0:07:23|1|0:12:05|0|0:54:47|2|
44|gongshuisanye2|19|1:10:07|1:07:10|0|1:08:46|0|1:10:07|0|1:05:10|0|
45|hkmaxi|19|1:10:41|0:03:46|0|0:10:37|0|0:13:17|0|1:05:41|1|
46|Sloth_junkie|19|1:10:42|0:02:41|0|0:14:39|0|0:21:05|0|1:05:42|1|
47|fatalerror-i|19|1:10:56|0:01:24|1|0:13:42|0|0:11:18|0|1:05:56|0|
48|infallible-i3anach5b9|19|1:11:05|0:13:25|0|0:13:15|1|0:12:20|0|1:06:05|0|
49|jinmingli|19|1:11:06|0:02:00|0|0:14:36|2|0:19:41|0|1:01:06|0|
50|biharicoder|19|1:11:46|0:46:47|0|0:56:36|0|1:01:46|1|0:44:47|1|
51|mkawa222|19|1:12:14|0:05:14|0|0:11:30|0|0:22:58|0|1:07:14|1|
52|user2937Vz|19|1:12:47|0:02:10|0|0:12:24|0|0:22:41|0|1:07:47|1|
53|torqueaj|19|1:12:54|0:02:11|0|0:09:55|0|0:17:40|0|1:07:54|1|
54|lucifer1006|19|1:12:56|0:01:34|0|0:07:01|1|0:19:04|1|0:57:56|1|
55|bibhudattapanigrahi0|19|1:13:05|0:03:41|0|0:11:45|0|0:22:38|0|1:13:05|0|
56|FreeYourMind|19|1:13:11|0:03:46|0|0:16:41|0|0:27:59|0|1:13:11|0|
57|NewbieHMT|19|1:13:35|0:01:36|0|0:12:47|1|0:18:05|0|1:08:35|0|
58|LarryNY|19|1:13:44|0:01:26|0|0:06:51|0|0:13:00|0|1:13:44|0|
59|vok8|19|1:14:37|0:01:50|0|1:04:37|1|0:17:45|1|0:59:35|0|
60|RedHeadphone|19|1:15:21|0:04:13|0|0:11:13|0|0:17:11|0|1:15:21|0|
61|ajinkya1p3|19|1:15:35|0:01:46|0|0:07:45|0|0:13:48|0|1:10:35|1|
62|_kevinyang|19|1:15:43|0:01:35|0|0:07:12|0|0:11:06|0|1:00:43|3|
63|hongrock|19|1:15:57|0:00:58|0|0:10:05|1|0:09:04|0|1:10:57|0|
64|the_oreo|19|1:16:11|0:10:21|0|0:16:48|0|0:21:06|0|1:16:11|0|
