Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (5)
1|ji-gong|17|0:09:06|0:01:07|0|0:02:43|0|0:06:20|0|0:09:06|0|
2|hank55663|17|0:09:08|0:01:03|0|0:02:51|0|0:06:15|0|0:09:08|0|
3|py-is-best-lang|17|0:09:16|0:01:09|0|0:03:29|0|0:05:58|0|0:09:16|0|
4|amsraman|17|0:09:49|0:01:31|0|0:04:21|0|0:07:04|0|0:09:49|0|
5|tiger2005|17|0:10:07|0:01:28|0|0:03:38|0|0:10:07|0|0:08:59|0|
6|tsreaper|17|0:10:21|0:01:28|0|0:03:28|0|0:07:01|0|0:10:21|0|
7|plevande|17|0:10:43|0:01:41|0|0:04:00|0|0:06:16|0|0:10:43|0|
8|crackersamdjam|17|0:10:48|0:01:54|0|0:04:49|0|0:07:53|0|0:10:48|0|
9|qingczha|17|0:10:52|0:08:36|0|0:09:15|0|0:10:52|0|0:08:26|0|
10|endlesscheng|17|0:10:54|0:10:44|0|0:10:47|0|0:10:51|0|0:10:54|0|
11|liupengsay|17|0:10:57|0:10:55|0|0:10:53|0|0:10:57|0|0:10:48|0|
12|arignote|17|0:11:03|0:05:12|0|0:05:17|0|0:09:10|0|0:11:03|0|
13|uwi|17|0:13:00|0:08:00|0|0:01:58|0|0:05:12|0|0:07:14|1|
14|Ujimatsu_Chiya|17|0:13:39|0:01:33|0|0:06:09|0|0:10:50|0|0:13:39|0|
15|tao-ge-h7|17|0:13:44|0:13:18|0|0:13:44|0|0:12:33|0|0:12:50|0|
16|wjli|17|0:13:50|0:01:33|0|0:04:45|0|0:09:08|0|0:13:50|0|
17|lee0560|17|0:13:52|0:01:13|0|0:03:59|0|0:10:30|0|0:13:52|0|
18|20240701.winter_dragon|17|0:13:52|0:01:43|0|0:04:58|0|0:10:02|0|0:13:52|0|
19|w285714|17|0:13:56|0:02:09|0|0:04:32|0|0:08:55|0|0:13:56|0|
20|shivambhagat02|17|0:14:16|0:01:45|0|0:03:46|0|0:07:52|0|0:14:16|0|
21|icepeach|17|0:14:22|0:02:29|0|0:05:29|0|0:09:43|0|0:14:22|0|
22|LarryNY|17|0:14:26|0:01:26|0|0:03:51|0|0:11:06|0|0:14:26|0|
23|juliany2|17|0:14:32|0:01:06|0|0:03:49|0|0:11:09|0|0:14:32|0|
24|osr|17|0:14:51|0:02:12|0|0:04:24|0|0:09:53|0|0:14:51|0|
25|xia_deng_ma|17|0:14:53|0:07:55|0|0:07:52|0|0:13:39|0|0:14:53|0|
26|LeetCoach|17|0:15:45|0:02:09|0|0:08:22|0|0:12:25|0|0:15:45|0|
27|Turkhuu|17|0:15:52|0:01:30|0|0:03:44|0|0:07:57|1|0:10:52|0|
28|remember_it|17|0:16:08|0:01:27|0|0:05:49|0|0:11:04|0|0:16:08|0|
