Rank Name Score Finish Time Q1 (3) Q2 (5) Q3 (5) Q4 (6)
1|ASAPIN|19|0:13:22|0:01:02|0|0:03:27|0|0:07:00|0|0:13:22|0|
2|liouzhou_101|19|0:17:04|0:01:17|0|0:06:31|0|0:09:58|0|0:17:04|0|
3|LayCurse|19|0:17:40|0:01:16|0|0:05:45|0|0:12:10|0|0:17:40|0|
4|hank55663|19|0:18:21|0:00:50|0|0:03:13|0|0:08:06|1|0:13:21|0|
5|QingchuanZhang-Microsoft|19|0:18:52|0:02:10|0|0:03:59|0|0:10:27|0|0:18:52|0|
6|uwi|19|0:20:12|0:15:12|0|0:13:06|1|0:04:34|0|0:10:44|0|
7|vipjml|19|0:20:16|0:01:31|0|0:06:22|0|0:10:34|0|0:20:16|0|
8|wifiii|19|0:20:27|0:00:54|0|0:03:02|0|0:08:28|1|0:15:27|0|
9|w285714|19|0:21:08|0:02:02|0|0:05:11|0|0:09:27|0|0:21:08|0|
10|zerotrac2|19|0:24:18|0:01:08|0|0:03:15|0|0:08:58|1|0:19:18|0|
11|riantkb|19|0:24:34|0:02:17|0|0:07:39|0|0:14:23|0|0:24:34|0|
12|txingml|19|0:24:39|0:03:24|0|0:07:41|0|0:14:37|0|0:24:39|0|
13|emthrm|19|0:24:43|0:01:06|0|0:04:16|0|0:13:40|0|0:24:43|0|
14|besieger|19|0:25:07|0:02:19|0|0:05:29|0|0:10:31|0|0:25:07|0|
15|suzyzhang|19|0:25:12|0:02:07|0|0:05:59|0|0:11:18|0|0:25:12|0|
16|jasonvictoryan|19|0:25:13|0:01:18|0|0:04:03|0|0:09:34|0|0:25:13|0|
17|DickLearning|19|0:25:17|0:01:06|0|0:03:54|0|0:09:13|0|0:20:17|1|
18|smartly|19|0:25:45|0:03:29|0|0:06:35|0|0:14:54|0|0:25:45|0|
19|cuiaoxiang|19|0:26:08|0:01:33|0|0:05:41|1|0:11:38|0|0:21:08|0|
20|Mip182|19|0:26:22|0:02:07|0|0:04:52|0|0:10:35|1|0:21:22|0|
21|aropan|19|0:26:34|0:01:35|0|0:07:48|0|0:14:24|0|0:26:34|0|
22|natsugiri|19|0:27:03|0:01:22|0|0:07:07|1|0:11:40|0|0:22:03|0|
23|hieptk|19|0:27:13|0:01:43|0|0:08:25|1|0:12:10|0|0:22:13|0|
24|lucifer1004|19|0:27:17|0:02:06|0|0:06:04|0|0:10:55|0|0:27:17|0|
25|onakasuitacity|19|0:28:08|0:01:57|0|0:07:09|0|0:13:24|0|0:28:08|0|
26|tutousi|19|0:28:16|0:01:54|0|0:07:23|0|0:19:34|0|0:28:16|0|
27|Nikitosh|19|0:28:44|0:01:36|0|0:06:04|1|0:13:41|0|0:23:44|0|
28|luchy0120|19|0:28:44|0:02:09|0|0:06:51|0|0:13:02|0|0:28:44|0|
29|jtjl|19|0:29:20|0:02:10|0|0:05:28|0|0:15:30|1|0:24:20|0|
30|zqy1018|19|0:29:36|0:02:35|0|0:04:57|0|0:15:00|0|0:29:36|0|
31|kf11|19|0:29:39|0:01:57|0|0:09:38|0|0:16:08|0|0:29:39|0|
32|nevergiveup|19|0:30:05|0:01:22|0|0:07:08|0|0:18:22|0|0:30:05|0|
33|x____x|19|0:30:07|0:01:48|0|0:05:42|0|0:09:37|0|0:25:07|1|
34|cjy-e|19|0:30:14|0:03:33|0|0:11:02|0|0:16:54|1|0:25:14|0|
35|ahsu198|19|0:30:25|0:02:10|0|0:07:03|0|0:14:33|0|0:30:25|0|
36|xh286286|19|0:30:27|0:02:30|0|0:06:31|0|0:13:42|0|0:30:27|0|
37|LighT-cml|19|0:30:37|0:01:30|0|0:05:55|0|0:11:48|0|0:25:37|1|
38|SaveVMK|19|0:31:10|0:01:58|0|0:07:27|0|0:18:51|1|0:26:10|0|
39|mi-ka-d|19|0:31:12|0:01:40|0|0:04:55|0|0:09:30|0|0:26:12|1|
40|chelly-6|19|0:31:34|0:02:37|0|0:08:12|0|0:16:47|0|0:31:34|0|
