Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (5)
1|hongrock|17|0:07:34|0:00:45|0|0:02:54|0|0:05:12|0|0:07:34|0|
2|py-is-best-lang|17|0:07:54|0:00:46|0|0:02:38|0|0:05:19|0|0:07:54|0|
3|cksp|17|0:09:29|0:09:29|0|0:08:41|0|0:06:53|0|0:03:02|0|
4|Chris_T|17|0:09:42|0:00:35|0|0:02:53|0|0:06:09|0|0:09:42|0|
5|Aging|17|0:09:51|0:00:59|0|0:03:19|0|0:05:55|0|0:09:51|0|
6|natsugiri|17|0:10:06|0:00:59|0|0:02:37|0|0:06:43|0|0:10:06|0|
7|Ujimatsu_Chiya|17|0:10:24|0:00:57|0|0:04:28|0|0:07:25|0|0:10:24|0|
8|mastoori1234|17|0:10:40|0:10:40|0|0:09:50|0|0:06:56|0|0:03:56|0|
9|waakaaka|17|0:10:42|0:00:50|0|0:03:07|0|0:06:20|0|0:10:42|0|
10|Ma_Lin|17|0:11:23|0:00:44|0|0:02:41|0|0:06:17|0|0:11:23|0|
11|hank55663|17|0:11:54|0:00:52|0|0:02:50|1|0:05:08|0|0:06:54|0|
12|arignote|17|0:12:03|0:05:26|0|0:05:35|0|0:09:20|0|0:12:03|0|
13|liouzhou_101|17|0:12:14|0:01:42|0|0:04:07|0|0:07:24|0|0:12:14|0|
14|qiye-5|17|0:12:31|0:02:03|0|0:05:11|0|0:08:58|0|0:12:31|0|
15|usephysics|17|0:12:53|0:00:38|0|0:02:16|0|0:05:48|0|0:12:53|0|
16|competent-mcnultyqw9|17|0:13:05|0:13:05|0|0:11:04|0|0:08:49|0|0:04:55|0|
17|milesian-c|17|0:14:25|0:00:54|0|0:06:19|0|0:09:08|0|0:14:25|0|
18|DylanSmith|17|0:14:26|0:00:59|0|0:04:01|1|0:06:45|0|0:09:26|0|
19|zanooybg23|17|0:14:41|0:01:23|0|0:04:07|1|0:07:29|0|0:09:41|0|
20|xymabinogi|17|0:14:45|0:01:19|0|0:04:21|0|0:09:39|0|0:14:45|0|
21|vassu118|17|0:14:46|0:01:48|0|0:04:07|0|0:10:06|0|0:14:46|0|
22|arthxr|17|0:14:50|0:00:49|0|0:04:17|1|0:07:47|0|0:09:50|0|
23|mcy4ever|17|0:14:53|0:01:40|0|0:05:10|0|0:10:14|0|0:14:53|0|
24|nicholask_17|17|0:14:54|0:00:34|0|0:01:59|0|0:05:21|0|0:14:54|0|
25|xie-bin-o|17|0:15:08|0:01:40|0|0:04:26|0|0:08:33|0|0:15:08|0|
26|alkonaesc|17|0:15:24|0:00:54|0|0:15:24|0|0:12:03|0|0:06:49|0|
27|stormsunshine|17|0:15:27|0:07:19|0|0:07:23|0|0:07:26|0|0:15:27|0|
28|AntonRaichuk|17|0:15:28|0:01:01|0|0:03:53|0|0:12:06|0|0:15:28|0|
29|megurine|17|0:16:16|0:02:04|0|0:06:13|0|0:11:26|0|0:16:16|0|
30|nifeshe|17|0:16:17|0:06:02|0|0:05:09|1|0:07:37|0|0:11:17|0|
31|endlesscheng|17|0:16:35|0:10:37|0|0:10:41|0|0:10:44|0|0:11:35|1|
32|dnialh|17|0:16:53|0:00:58|0|0:03:34|0|0:11:53|1|0:09:38|0|
33|xmentex|17|0:16:56|0:01:53|0|0:04:43|0|0:12:11|0|0:16:56|0|
34|Tlatoani|17|0:17:07|0:01:03|0|0:09:29|0|0:13:06|0|0:17:07|0|
35|uwi|17|0:17:15|0:00:59|0|0:03:06|1|0:06:29|0|0:12:15|0|
36|dong_liu|17|0:17:17|0:08:01|0|0:08:16|0|0:08:49|1|0:12:17|0|
37|physics0523|17|0:17:18|0:00:46|0|0:02:32|0|0:06:33|0|0:12:18|1|
38|megaspazz|17|0:17:24|0:01:23|0|0:03:12|0|0:07:42|0|0:12:24|1|
39|zokumyoin|17|0:17:29|0:00:54|0|0:04:24|0|0:08:26|1|0:12:29|0|
40|plasmatic|17|0:17:36|0:00:55|0|0:03:49|1|0:06:19|0|0:12:36|0|
41|PurpleCrayon|17|0:17:36|0:06:34|0|0:08:00|0|0:12:36|1|0:05:24|0|
42|Glukua|17|0:17:51|0:01:20|0|0:09:36|0|0:13:14|0|0:17:51|0|
43|sgcolin|17|0:17:51|0:01:11|0|0:03:49|0|0:07:06|0|0:12:51|1|
44|JeffreyLC|17|0:17:55|0:01:08|0|0:03:42|0|0:08:35|0|0:17:55|0|
45|lost-temple-2|17|0:18:00|0:02:43|0|0:05:31|0|0:11:00|0|0:18:00|0|
46|@_deleted_user_8c36ca8f|17|0:18:06|0:01:07|0|0:04:38|0|0:10:41|0|0:18:06|0|
47|serene-meninskywwq|17|0:18:09|0:01:09|0|0:04:00|0|0:11:08|0|0:18:09|0|
48|ji-gong|17|0:18:16|0:00:41|0|0:02:34|0|0:13:16|0|0:08:14|1|
49|tsreaper|17|0:18:20|0:00:56|0|0:04:09|1|0:08:57|0|0:13:20|0|
50|xuxiaohu|17|0:18:22|0:18:22|0|0:18:12|0|0:18:02|0|0:17:52|0|
51|goodstudyqaq|17|0:18:22|0:02:20|0|0:06:05|0|0:11:48|0|0:18:22|0|
52|hhhyh|17|0:18:34|0:03:08|0|0:05:51|0|0:09:55|1|0:13:34|0|
53|oldyan|17|0:18:42|0:00:39|0|0:07:58|0|0:10:29|0|0:13:42|1|
54|rui_er|17|0:18:42|0:00:41|0|0:02:58|0|0:13:42|1|0:11:09|0|
55|ocavue|17|0:18:59|0:02:39|0|0:06:23|0|0:13:27|0|0:18:59|0|
56|tanmay_raj_29|17|0:19:01|0:01:31|0|0:03:58|0|0:08:48|0|0:14:01|1|
57|remember_it|17|0:19:09|0:01:42|0|0:06:31|0|0:11:19|0|0:19:09|0|
58|xs_pg|17|0:19:17|0:00:50|0|0:03:02|1|0:07:47|0|0:14:17|0|
59|ye-yuan-xin-zhi-zhu-o|17|0:19:23|0:01:04|0|0:03:46|1|0:07:28|0|0:14:23|0|
60|qingczha|17|0:19:24|0:00:51|0|0:04:41|0|0:06:18|2|0:09:24|0|
61|gamigafy|17|0:19:25|0:00:53|0|0:03:52|0|0:08:07|0|0:14:25|1|
62|icosa|17|0:19:35|0:01:34|0|0:04:31|0|0:10:21|0|0:19:35|0|
63|nideesh45|17|0:19:52|0:01:03|0|0:06:16|0|0:19:52|0|0:12:13|0|
64|lddlinan|17|0:19:58|0:01:27|0|0:05:09|0|0:10:09|1|0:14:58|0|
65|Nandy_Magic|17|0:20:06|0:01:57|0|0:06:56|0|0:11:52|0|0:20:06|0|
66|raincoat911|17|0:20:16|0:01:20|0|0:04:30|0|0:11:23|1|0:15:16|0|
67|CZSNB|17|0:20:20|0:00:50|0|0:03:01|0|0:10:48|1|0:15:20|0|
68|qing-feng-zz|17|0:20:23|0:00:56|0|0:05:12|0|0:08:56|0|0:15:23|1|
69|sun-man-man|17|0:20:28|0:01:03|0|0:05:50|1|0:10:10|0|0:15:28|0|
70|ddmike|17|0:20:32|0:00:53|0|0:04:39|0|0:09:42|0|0:20:32|0|
71|cchao|17|0:20:33|0:01:06|0|0:15:33|0|0:07:53|0|0:13:24|1|
72|profchi|17|0:20:48|0:01:34|0|0:04:55|0|0:09:22|0|0:15:48|1|
73|timelyrain1212|17|0:21:01|0:10:01|0|0:12:51|0|0:13:11|0|0:21:01|0|
74|lympanda|17|0:21:02|0:00:54|0|0:04:02|1|0:07:41|1|0:11:02|0|
75|dvd-5|17|0:21:22|0:01:19|0|0:03:28|0|0:09:14|0|0:16:22|1|
76|woruo27|17|0:21:26|0:00:21|0|0:03:46|1|0:10:01|0|0:16:26|0|
77|cloudstrife0142|17|0:21:38|0:01:09|0|0:04:19|0|0:14:45|0|0:21:38|0|
78|justdoit2|17|0:21:58|0:01:04|0|0:03:31|1|0:07:17|0|0:16:58|0|
79|xuantho573|17|0:22:00|0:02:48|0|0:06:16|0|0:11:04|1|0:17:00|0|
80|ychzhou|17|0:22:00|0:01:48|0|0:05:45|1|0:10:54|0|0:17:00|0|
81|fsyun|17|0:22:02|0:01:43|0|0:05:07|0|0:11:34|1|0:17:02|0|
82|jzhsh1735|17|0:22:03|0:01:22|0|0:07:17|0|0:11:51|0|0:22:03|0|
