Rank Name Score Finish Time Q1 (3) Q2 (5) Q3 (6) Q4 (7)
1|neal_wu|21|0:16:34|0:01:33|0|0:10:54|0|0:14:25|0|0:16:34|0|
2|beet|21|0:23:42|0:02:54|0|0:08:55|0|0:17:40|0|0:23:42|0|
3|uwi|21|0:25:34|0:02:51|0|0:08:36|0|0:13:27|0|0:20:34|1|
4|i_love_xiaoshagua_cpp|21|0:25:51|0:01:42|0|0:11:54|0|0:19:12|0|0:25:51|0|
5|liouzhou_101|21|0:25:54|0:01:35|0|0:07:44|0|0:18:47|0|0:25:54|0|
6|__Chaos__|21|0:29:16|0:29:16|0|0:27:26|0|0:17:31|0|0:05:59|0|
7|alpha_null|21|0:30:49|0:02:20|0|0:14:48|1|0:20:17|0|0:25:49|0|
8|LayCurse|21|0:31:54|0:02:38|0|0:12:30|0|0:22:56|1|0:26:54|0|
9|hitonanode|21|0:34:07|0:08:08|0|0:09:23|0|0:22:45|1|0:29:07|0|
10|testtest123321|21|0:35:04|0:02:41|0|0:13:20|0|0:23:44|0|0:35:04|0|
11|caigogo|21|0:35:39|0:03:24|0|0:13:48|0|0:24:59|0|0:35:39|0|
12|marco12|21|0:35:43|0:01:55|0|0:09:33|1|0:20:32|0|0:30:43|0|
13|xqxqxq|21|0:37:35|0:02:57|0|0:11:34|0|0:28:24|0|0:37:35|0|
14|cuiaoxiang|21|0:37:42|0:01:08|0|0:08:49|0|0:17:43|1|0:32:42|0|
15|5lipper|21|0:37:51|0:03:08|0|0:14:41|0|0:37:51|0|0:31:38|0|
16|zipei2124|21|0:39:08|0:02:48|0|0:15:39|0|0:32:08|0|0:39:08|0|
17|huizew|21|0:41:07|0:02:17|0|0:14:57|1|0:23:35|0|0:36:07|0|
18|kmjp|21|0:41:16|0:02:01|0|0:10:48|1|0:26:13|1|0:31:16|0|
19|superluminal|21|0:41:26|0:01:35|0|0:16:50|1|0:23:31|0|0:36:26|0|
20|daurenabd|21|0:42:46|0:02:26|0|0:16:51|0|0:37:46|1|0:26:59|0|
21|facelessvoid|21|0:43:13|0:02:23|0|0:16:39|0|0:25:48|0|0:43:13|0|
22|farmerboy|21|0:43:34|0:03:19|0|0:13:12|0|0:26:33|1|0:38:34|0|
23|yubowenok|21|0:43:49|0:03:30|0|0:13:29|0|0:26:13|0|0:43:49|0|
24|hsuan-ting|21|0:45:05|0:04:38|0|0:13:33|1|0:26:07|0|0:40:05|0|
25|zqy1018|21|0:45:06|0:04:13|0|0:23:40|1|0:31:42|0|0:40:06|0|
26|davyjing|21|0:45:41|0:45:13|0|0:45:21|0|0:45:29|0|0:45:41|0|
27|catalin7|21|0:45:45|0:04:40|1|0:15:00|0|0:29:01|0|0:40:45|0|
28|satanic0258|21|0:46:06|0:02:56|0|0:07:47|0|0:24:36|1|0:36:06|1|
29|pseudouser|21|0:46:32|0:46:02|0|0:46:11|0|0:46:22|0|0:46:32|0|
30|NEU20133823|21|0:47:00|0:04:32|1|0:19:37|0|0:26:49|0|0:42:00|0|
31|xietiansh|21|0:47:01|0:04:20|1|0:24:23|0|0:36:05|0|0:42:01|0|
32|Hexadecimal|21|0:47:41|0:03:05|0|0:38:26|0|0:19:19|0|0:47:41|0|
33|LMSSB|21|0:49:24|0:04:33|0|0:31:23|0|0:16:22|0|0:49:24|0|
34|yottacto|21|0:50:26|0:04:48|0|0:19:18|0|0:30:13|0|0:50:26|0|
35|kyoclover|21|0:50:28|0:05:39|0|0:20:54|0|0:41:57|0|0:50:28|0|
36|yaketake08|21|0:50:51|0:05:58|1|0:12:47|0|0:26:45|0|0:45:51|0|
37|winmad|21|0:52:17|0:03:35|0|0:24:34|0|0:40:00|0|0:52:17|0|
38|muhandae|21|0:52:28|0:04:26|0|0:16:46|1|0:38:58|0|0:47:28|0|
39|fuzhe|21|0:53:23|0:07:04|1|0:19:22|0|0:33:00|0|0:48:23|0|
40|luzi82|21|0:53:26|0:05:58|0|0:27:11|0|0:49:17|0|0:53:26|0|
41|ychzhou|21|0:53:35|0:05:12|0|0:19:33|0|0:38:04|0|0:53:35|0|
42|qwnjc|21|0:54:02|0:03:37|0|0:16:08|0|0:29:06|0|0:54:02|0|
43|nosrpku|21|0:54:06|0:02:46|0|0:16:39|1|0:28:10|0|0:49:06|0|
44|sshang|21|0:54:19|0:02:51|0|0:23:25|1|0:32:01|0|0:49:19|0|
45|asembl|21|0:54:51|0:07:51|1|0:17:25|1|0:25:46|0|0:39:51|1|
46|YangZhenjian|21|0:54:52|0:03:10|0|0:19:31|1|0:33:23|0|0:49:52|0|
47|szp14|21|0:55:53|0:36:04|0|0:50:24|1|0:50:33|0|0:50:53|0|
