Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
1|Heltion|18|0:16:56|0:01:39|0|0:04:05|0|0:09:07|0|0:16:56|0|
2|Ujimatsu_Chiya|18|0:22:06|0:01:33|0|0:05:16|0|0:09:54|0|0:22:06|0|
3|JOHNKRAM|18|0:22:55|0:02:45|0|0:06:48|1|0:10:51|0|0:17:55|0|
4|natsugiri|18|0:25:05|0:02:27|0|0:07:36|0|0:17:43|0|0:25:05|0|
5|some_idiot|18|0:26:30|0:01:37|0|0:07:58|0|0:17:29|0|0:26:30|0|
6|PurpleCrayon|18|0:26:38|0:20:57|0|0:15:26|1|0:21:38|0|0:04:50|0|
7|arignote|18|0:27:05|0:06:13|0|0:07:15|0|0:18:10|0|0:27:05|0|
8|qingczha|18|0:28:38|0:09:26|0|0:09:16|0|0:19:43|0|0:28:38|0|
9|0suoicsnocbus|18|0:30:16|0:03:33|0|0:09:19|1|0:14:28|0|0:25:16|0|
10|wery0|18|0:30:50|0:29:57|0|0:29:51|0|0:30:50|0|0:29:45|0|
11|AntonRaichuk|18|0:31:05|0:04:19|0|0:07:20|0|0:15:18|0|0:31:05|0|
12|prajwal_733|18|0:31:36|0:02:08|0|0:12:01|0|0:20:04|0|0:31:36|0|
13|superluminal|18|0:31:38|0:01:26|0|0:09:20|0|0:19:42|0|0:31:38|0|
14|lucifer1006|18|0:31:57|0:01:35|0|0:06:35|0|0:24:49|0|0:31:57|0|
15|sheepforever|18|0:32:30|0:01:56|0|0:04:58|0|0:12:00|0|0:27:30|1|
16|huah-f|18|0:32:31|0:02:57|0|0:07:07|0|0:16:18|0|0:32:31|0|
17|twitch_tv_qiqi_impact|18|0:32:54|0:01:31|0|0:07:39|0|0:15:57|1|0:27:54|0|
18|lichen-7i|18|0:33:11|0:05:49|0|0:02:41|0|0:16:32|0|0:28:11|1|
19|smartly|18|0:33:39|0:02:36|0|0:08:27|0|0:17:15|0|0:28:39|1|
20|dacdodinh99|18|0:33:55|0:02:37|0|0:06:19|0|0:16:31|0|0:28:55|1|
21|skywalkert|18|0:34:46|0:01:20|0|0:05:45|0|0:15:25|1|0:24:46|1|
22|i_love_xiaoshagua_cpp|18|0:34:56|0:01:28|0|0:09:12|0|0:17:57|0|0:29:56|1|
23|xuxiaohu|18|0:37:41|0:20:43|0|0:20:40|0|0:26:16|1|0:27:41|1|
24|szp14|18|0:37:55|0:03:56|0|0:14:08|0|0:22:52|0|0:37:55|0|
25|25ra0631|18|0:39:57|0:03:19|0|0:08:50|0|0:20:03|1|0:29:57|1|
26|Akatsuki_|18|0:40:32|0:03:10|0|0:10:03|0|0:25:32|0|0:40:32|0|
27|liouzhou_101|18|0:41:19|0:01:42|0|0:07:14|0|0:17:15|0|0:36:19|1|
28|txingml|18|0:41:30|0:02:12|0|0:10:31|0|0:24:46|0|0:41:30|0|
29|tian-tang-6|18|0:42:39|0:03:55|0|0:10:32|1|0:24:34|0|0:32:39|1|
30|Maruzensky|18|0:42:59|0:02:07|0|0:04:28|0|0:20:59|0|0:42:59|0|
31|mafailure|18|0:43:13|0:04:22|0|0:38:13|0|0:19:49|0|0:34:56|1|
