Rank Name Score Finish Time Q1 (1) Q2 (1) Q3 (1) Q4 (1)
1|jzjsuper|4|0:35:19|0:07:29|0|0:10:47|0|0:24:53|0|0:35:19|0|
2|spnautilus|4|0:57:05|0:12:37|0|0:03:26|0|0:24:28|0|0:47:05|1|
3|lixx2100|4|1:07:02|0:11:37|0|0:17:14|0|0:34:53|2|0:47:02|0|
4|tangsijian1991|4|1:09:27|0:20:07|0|0:31:48|0|0:46:52|0|0:59:27|1|
5|__Chaos__|4|1:12:33|0:15:45|2|0:20:22|0|0:28:55|1|0:42:33|0|
6|anorange0409|4|1:15:18|0:17:15|1|0:27:39|0|0:47:25|1|0:55:18|0|
7|nehcdnr|4|1:15:43|0:15:16|0|0:23:23|0|0:48:50|1|1:05:43|0|
8|shtian|4|1:20:00|0:17:12|0|0:30:30|1|0:49:18|1|1:00:00|0|
9|tongyingkk|4|1:27:15|0:45:00|1|1:07:15|0|0:55:52|1|0:21:04|0|
10|piggyqian|4|1:27:37|0:18:57|0|0:39:25|0|0:59:24|1|1:17:37|0|
11|LK21|4|1:29:05|1:06:54|0|1:09:05|0|0:28:54|0|1:04:41|2|
12|tcui|4|1:30:41|0:32:11|0|0:47:22|0|1:01:38|1|1:20:41|0|
13|yangsiy|4|1:32:01|0:11:45|0|0:27:40|0|1:09:34|0|1:32:01|0|
14|xuan18|4|1:32:49|0:13:35|0|0:35:13|0|0:58:11|1|1:22:49|0|
15|DancingSoul|4|1:36:12|0:20:28|0|0:08:55|0|0:38:00|2|0:56:12|2|
16|SpookyCookie|4|1:36:21|0:46:14|0|0:09:52|1|1:06:21|0|0:23:17|2|
17|ttdangkhoa|4|1:37:50|0:34:10|1|0:41:36|0|0:56:49|0|1:17:50|1|
18|oldsys|4|1:40:52|0:14:56|2|0:23:01|0|0:38:37|0|1:10:52|1|
19|oldguysss|4|1:41:40|0:18:27|1|0:06:33|0|0:51:40|3|0:46:12|1|
20|y119777|4|1:42:49|0:23:32|0|0:37:09|0|1:42:49|0|1:14:58|0|
21|busydog|4|1:46:31|0:25:19|2|0:37:47|0|1:06:31|1|0:42:55|1|
22|zhyl321|4|1:48:11|1:14:00|1|0:54:24|0|1:31:40|0|1:38:11|0|
23|o_sharp|4|1:50:41|0:24:05|0|0:40:39|0|1:21:37|1|1:40:41|0|
24|NerdyCoder|4|1:51:13|0:28:35|2|0:48:38|0|1:03:38|1|1:21:13|0|
25|Hexadecimal|4|1:55:53|0:35:35|1|0:59:55|0|1:15:27|2|1:25:53|0|
26|SergeyTachenov|4|1:56:11|0:19:24|1|0:39:13|0|0:58:55|1|1:26:11|1|
27|mylover|4|1:56:20|0:55:16|1|0:28:39|1|0:58:30|1|1:26:20|0|
28|gaoxiaobin|4|1:58:58|0:20:54|0|0:38:40|0|1:00:45|1|1:38:58|1|
29|akak18183|4|1:59:51|0:15:32|1|0:35:57|0|1:19:51|3|1:10:30|0|
30|ggcjava|4|2:00:24|0:21:22|1|0:44:06|0|1:12:26|0|1:50:24|0|
31|fujiaozhu|4|2:02:27|1:19:13|0|0:26:39|0|0:54:23|0|1:32:27|3|
