Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
1|numb3r5|18|0:07:57|0:07:30|0|0:07:48|0|0:07:37|0|0:07:57|0|
2|wwwwodddd|18|0:08:36|0:01:18|0|0:02:24|0|0:04:28|0|0:08:36|0|
3|nyu_ldf|18|0:09:20|0:03:57|0|0:04:17|0|0:07:33|0|0:09:20|0|
4|liouzhou_101|18|0:11:03|0:01:45|0|0:03:26|0|0:05:20|0|0:11:03|0|
5|uwi|18|0:11:13|0:01:30|0|0:03:55|0|0:06:37|0|0:11:13|0|
6|JOHNKRAM|18|0:11:35|0:01:06|0|0:02:49|0|0:05:45|0|0:11:35|0|
7|Heltion|18|0:12:39|0:01:11|0|0:05:22|0|0:07:24|0|0:12:39|0|
8|thenymphsofdelphi|18|0:13:11|0:01:38|0|0:03:09|0|0:05:37|0|0:13:11|0|
9|lucifer1006|18|0:13:15|0:01:09|0|0:04:02|0|0:07:11|0|0:13:15|0|
10|tsreaper|18|0:14:03|0:01:23|0|0:04:09|0|0:07:08|0|0:14:03|0|
11|xh286286|18|0:14:12|0:02:01|0|0:03:47|0|0:07:17|0|0:14:12|0|
12|chiro_11|18|0:14:53|0:14:43|0|0:14:53|0|0:14:34|0|0:14:29|0|
13|hank55663|18|0:14:54|0:01:47|1|0:03:20|0|0:05:28|0|0:09:54|0|
14|dan-dan-juan-juan|18|0:15:15|0:02:06|0|0:03:56|0|0:07:13|0|0:15:15|0|
15|Ujimatsu_Chiya|18|0:15:18|0:01:34|0|0:03:11|0|0:07:25|0|0:15:18|0|
16|kmjp|18|0:15:19|0:02:03|1|0:03:50|0|0:05:44|0|0:10:19|0|
17|wery0|18|0:15:28|0:02:07|0|0:04:56|0|0:08:07|0|0:15:28|0|
18|cksp|18|0:15:31|0:15:31|0|0:14:13|0|0:12:08|0|0:07:43|0|
19|hesorchen|18|0:15:33|0:15:33|0|0:02:07|0|0:13:17|0|0:10:43|0|
20|endlesscheng|18|0:15:40|0:15:40|0|0:15:37|0|0:15:34|0|0:15:31|0|
21|zekigurbuz|18|0:15:41|0:01:13|0|0:03:00|0|0:05:29|0|0:15:41|0|
22|arignote|18|0:16:07|0:03:42|0|0:06:09|0|0:08:16|0|0:16:07|0|
23|KerimKochekov|18|0:16:23|0:08:30|0|0:12:38|0|0:16:23|0|0:06:31|0|
24|cuiaoxiang|18|0:16:40|0:01:17|0|0:06:38|0|0:09:04|0|0:16:40|0|
25|jasonvictoryan|18|0:17:06|0:01:16|0|0:03:26|0|0:07:16|0|0:17:06|0|
26|HanaYukii|18|0:17:29|0:02:27|0|0:04:25|0|0:10:03|0|0:17:29|0|
27|sudo_Yiii|18|0:17:33|0:03:03|0|0:06:13|0|0:10:17|0|0:17:33|0|
28|sayakaFan|18|0:17:49|0:01:38|0|0:03:53|0|0:08:17|0|0:17:49|0|
29|Sd-Invol|18|0:17:57|0:01:13|1|0:03:17|0|0:05:32|0|0:12:57|0|
30|DylanSmith|18|0:18:09|0:18:09|0|0:16:11|0|0:12:29|0|0:08:12|0|
31|y0105w49|18|0:18:20|0:02:00|1|0:04:59|0|0:07:31|0|0:13:20|0|
32|tonghuikang|18|0:18:21|0:01:50|0|0:03:32|0|0:10:27|0|0:18:21|0|
33|LarryNY-Fan|18|0:18:43|0:04:20|0|0:04:51|0|0:07:04|0|0:18:43|0|
34|MkaanTheKing|18|0:18:47|0:10:33|0|0:05:52|0|0:06:10|0|0:18:47|0|
35|cpp_template|18|0:19:02|0:02:35|0|0:04:16|0|0:07:24|0|0:19:02|0|
36|ab__c|18|0:19:08|0:02:39|0|0:07:52|0|0:13:12|0|0:19:08|0|
37|dreamoon|18|0:19:19|0:01:58|0|0:05:27|1|0:07:54|0|0:14:19|0|
38|sun-man-man|18|0:19:49|0:02:30|0|0:07:56|0|0:11:35|0|0:19:49|0|
39|Yawn_Sean|18|0:19:58|0:04:23|0|0:10:14|0|0:12:39|0|0:19:58|0|
40|jinmingli|18|0:20:03|0:01:28|0|0:04:52|0|0:08:14|0|0:20:03|0|
41|VladaMG98|18|0:20:06|0:01:49|0|0:06:23|0|0:10:54|0|0:20:06|0|
